original_title,year,genres,numvotes,averagerating,production_budget,domestic_gross,worldwide_gross
Limitless,2011,"Mystery,Sci-Fi,Thriller",492490,7.4,27000000,79249455,155564919
Broken City,2013,"Crime,Drama,Thriller",71704,6.2,35000000,19701164,34480045
The Last Song,2010,"Drama,Music,Romance",74914,6.0,20000000,62950384,92678948
The FP,2011,Comedy,1541,5.6,60000,0,0
Bullet to the Head,2012,"Action,Crime,Thriller",44816,5.7,55000000,9489829,22597969
The Great Gatsby,2013,"Drama,Romance",433165,7.3,190000000,144840419,351040419
Dredd,2012,"Action,Crime,Sci-Fi",234616,7.1,45000000,13414714,41467606
The Kid,2010,Drama,1206,6.9,65000000,69688384,69688384
Unknown,2011,"Action,Mystery,Thriller",235167,6.9,40000000,63686397,136123083
Happy Feet Two,2011,"Adventure,Animation,Comedy",38396,5.9,135000000,64006466,157956466
The Apparition,2012,"Horror,Thriller",18112,4.1,17000000,4936819,10637281
Buried,2010,"Drama,Mystery,Thriller",139426,7.0,1987650,1044143,21270290
Baywatch,2017,"Action,Comedy,Crime",137528,5.6,60000000,58060186,175863783
Melancholia,2011,"Drama,Sci-Fi",153434,7.2,9400000,3030848,21817298
Everything Must Go,2010,"Comedy,Drama",45799,6.4,5000000,2712131,2821010
Texas Chainsaw 3D,2013,"Horror,Thriller",41784,4.8,20000000,34341945,47666013
Only God Forgives,2013,"Crime,Drama",100318,5.7,4800000,775849,4494560
Prom,2011,"Comedy,Drama,Family",14279,5.4,8000000,10130219,10763183
Carnage,2011,"Comedy,Drama",111372,7.2,25000000,2546747,38112154
Ender's Game,2013,"Action,Adventure,Fantasy",211722,6.6,110000000,61737191,127983283
Red Lights,2012,"Drama,Fantasy,Horror",55287,6.2,17700000,49521,14518884
Reagan,2011,"Biography,Documentary",732,7.4,25000000,0,0
Deepwater Horizon,2016,"Action,Drama,History",133303,7.1,156000000,61433527,122603824
Race,2011,Drama,73,3.9,5000000,19115191,23745772
The Purge: Election Year,2016,"Action,Horror,Sci-Fi",80254,6.0,10000000,79042440,118514727
After,2019,"Drama,Romance",7699,5.6,650000,0,0
Meet the Blacks,2016,"Comedy,Horror",34669,5.9,900000,9097072,9097072
Bully,2015,Drama,26,7.6,2100000,881824,1381824
Can You Ever Forgive Me?,2018,"Biography,Comedy,Crime",29473,7.2,10000000,8803865,11752387
The Perfect Man,2015,Romance,6,5.2,10000000,16535005,19535005
Message in a Bottle,2017,Adventure,30,8.8,30000000,52880016,52880016
The Return,2015,Adventure,32,8.2,15000000,501752,5953886
Lumea e a mea,2015,Drama,677,6.3,168000,0,29678
LBJ,2016,"Biography,Drama,History",4396,6.5,20000000,2468683,2507181
The Salton Sea,2016,"Crime,Drama,Mystery",13,6.5,18000000,676698,676698
Us,2015,Comedy,14,8.3,20000000,175006930,254210310
Jurassic World: Fallen Kingdom,2018,"Action,Adventure,Sci-Fi",219125,6.2,170000000,417719760,1305772799
Mandy,2016,"Drama,Thriller",39,4.1,6000000,1214525,1427656
Logan Lucky,2017,"Comedy,Crime,Drama",105966,7.0,29000000,27778642,44264271
Tarnation,2017,"Comedy,Horror",229,3.5,400000,592014,1162014
Akira,2016,"Drama,Romance",32,5.9,8000000,19585,19585
Duplicity,2016,Mystery,8,8.1,60000000,40572825,81079566
A Bad Moms Christmas,2017,"Adventure,Comedy",33056,5.5,28000000,72110659,127710550
Nighthawks,2019,"Drama,Thriller",19,8.6,5000000,14600000,19600000
The 15:17 to Paris,2018,"Biography,Drama,Thriller",21880,5.2,30000000,36276286,56096200
Wonder Woman,2017,"Action,Adventure,Fantasy",487527,7.5,150000000,412563408,821133378
House at the End of the Drive,2014,"Horror,Thriller",331,6.5,1400000,0,0
Season of the Witch,2011,"Action,Adventure,Fantasy",85777,5.4,40000000,24827228,91126600
