original_title,year,genres,numvotes,averagerating,production_budget,domestic_gross,worldwide_gross
Lights Out,2016,"Drama,Horror,Mystery",100650,6.3,5000000,67268835,148806510
Jurassic World: Fallen Kingdom,2018,"Action,Adventure,Sci-Fi",219125,6.2,170000000,417719760,1305772799
Logan Lucky,2017,"Comedy,Crime,Drama",105966,7.0,29000000,27778642,44264271
A Bad Moms Christmas,2017,"Adventure,Comedy",33056,5.5,28000000,72110659,127710550
The 15:17 to Paris,2018,"Biography,Drama,Thriller",21880,5.2,30000000,36276286,56096200
Wonder Woman,2017,"Action,Adventure,Fantasy",487527,7.5,150000000,412563408,821133378
Season of the Witch,2011,"Action,Adventure,Fantasy",85777,5.4,40000000,24827228,91126600
Welcome to the Rileys,2010,Drama,22210,7.0,10000000,152857,355919
The Back-up Plan,2010,"Comedy,Romance",46128,5.4,35000000,37490007,75281179
London Fields,2018,"Crime,Mystery,Thriller",2871,4.3,8000000,252676,433732
The Dark Knight Rises,2012,"Action,Thriller",1387769,8.4,275000000,448139099,1084439099
Downsizing,2017,"Drama,Sci-Fi",74815,5.7,68000000,24449754,54462971
Paranoia,2013,"Drama,Thriller",33149,5.7,40000000,7388654,16340767
Letters to God,2010,"Drama,Family",4443,6.3,3000000,2848587,3237452
Le Havre,2011,"Comedy,Drama",18490,7.2,5500000,611709,13480196
Paranormal Activity 2,2010,Horror,93122,5.7,3000000,84752907,177512032
127 Hours,2010,"Adventure,Biography,Drama",323949,7.6,18000000,18335230,60217171
Mortal Engines,2018,"Action,Adventure,Fantasy",70193,6.1,100000000,15951040,85287417
The Vow,2012,"Drama,Romance",173629,6.8,30000000,125014030,197618160
Office Christmas Party,2016,Comedy,59253,5.8,45000000,54767494,91323299
Raymond Did It,2011,Horror,211,3.3,40000,3632,3632
Paranormal Activity 3,2011,"Horror,Mystery,Thriller",85689,5.8,5000000,104028807,207039844
Black Panther,2018,"Action,Adventure,Sci-Fi",516148,7.3,200000000,700059566,1348258224
The Artist,2011,"Comedy,Drama,Romance",217184,7.9,16000000,44667095,128256712
By the Sea,2015,"Drama,Romance",16206,5.3,20000000,538460,3727746
Dope,2015,"Comedy,Crime,Drama",76557,7.2,7000000,17506470,18190831
Bajrangi Bhaijaan,2015,"Action,Comedy,Drama",63747,8.0,13000000,8178001,121778347
The Boss Baby,2017,"Adventure,Animation,Comedy",93730,6.3,125000000,175003033,510878762
Maze Runner: The Death Cure,2018,"Action,Sci-Fi,Thriller",91286,6.2,61000000,58032443,265878536
Kingsman: The Golden Circle,2017,"Action,Adventure,Comedy",230797,6.8,104000000,100234838,408803696
Tangled,2010,"Adventure,Animation,Comedy",366366,7.8,260000000,200821936,586477240
Alita: Battle Angel,2019,"Action,Adventure,Sci-Fi",88207,7.5,170000000,85710210,402976036
Tower Heist,2011,"Action,Comedy,Crime",125102,6.2,85000000,78046570,150422946
The Smurfs,2011,"Adventure,Animation,Comedy",77577,5.5,110000000,142614158,563749323
Unstoppable,2010,"Action,Thriller",173019,6.8,95000000,81562942,165720921
Legion,2010,"Action,Fantasy,Horror",92709,5.2,26000000,40168080,67647574
Captain Marvel,2019,"Action,Adventure,Sci-Fi",296225,7.0,175000000,426525952,1123061550
Kicks,2016,"Adventure,Drama",3789,6.3,10000000,150191,150191
It Comes at Night,2017,"Horror,Mystery",69039,6.2,5000000,13985117,19720203
The Florida Project,2017,Drama,72193,7.6,2000000,5904366,11295324
Home Again,2017,"Comedy,Drama,Romance",22614,5.8,15000000,27020284,37336874
The First Purge,2018,"Action,Horror,Sci-Fi",41741,5.1,13000000,69488745,136617305
Conan the Barbarian,2011,"Action,Adventure,Fantasy",90834,5.2,90000000,21295021,63356133
The Kids Are All Right,2010,"Comedy,Drama,Romance",120656,7.0,4000000,20811365,36275469
My Soul to Take,2010,"Horror,Mystery,Thriller",18381,4.8,25000000,14744435,16727470
The Wedding Ringer,2015,Comedy,66893,6.7,23000000,64460211,80171596
Salt,2010,"Action,Mystery,Thriller",277204,6.4,130000000,118311368,290650494
The Sorcerer's Apprentice,2010,"Action,Adventure,Family",143862,6.1,160000000,63150991,217986320
Chernobyl Diaries,2012,"Horror,Mystery,Thriller",60304,5.0,1000000,18119640,42411721
San Andreas,2015,"Action,Adventure,Drama",192750,6.1,110000000,155190832,456258539
The Heat,2013,"Action,Comedy,Crime",153501,6.6,43000000,159581587,229727774
The Fault in Our Stars,2014,"Drama,Romance",315135,7.7,12000000,124872350,307166834
Fury,2014,"Action,Drama,War",381993,7.6,80000000,85817906,210315681
Pitch Perfect 2,2015,"Comedy,Music",130692,6.4,29000000,184296230,287625468
Obvious Child,2014,"Comedy,Drama,Romance",21536,6.8,1000000,3122616,3324070
Higher Power,2018,"Action,Sci-Fi,Thriller",2152,5.3,500000,528,528
The Nut Job 2: Nutty by Nature,2017,"Adventure,Animation,Comedy",4820,5.5,40000000,28370522,57438389
Barbershop: The Next Cut,2016,"Comedy,Drama",13306,5.9,20000000,54030051,54404202
The BFG,2016,"Adventure,Family,Fantasy",69340,6.4,140000000,55483770,199646680
My Big Fat Greek Wedding 2,2016,"Comedy,Romance",25933,6.0,18000000,59689605,92096558
Meet the Mormons,2014,Documentary,1897,6.9,2000000,6047363,6049171
Bumblebee,2018,"Action,Adventure,Sci-Fi",94155,6.9,102000000,127195589,465195589
